ชื่อ,ที่อยู่,ถนน,เลขที่,ประเภท,เวลาเปิด,ความแม่นยำที่อยู่,หมายเหตุ
บาจีปังนมสด (bhajipang fresh milk),91 ถนนนางงาม ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นางงาม,91,ปังนมสด/ของหวาน,ทุกวัน 11:00-22:00,เลขที่บ้านยืนยันแล้ว,จุดเริ่มต้น - คุณกรอยู่ที่นี่
ฮับเซ่ง (Hub Seng),ถนนนางงาม ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นางงาม,,สภากาแฟ/น้ำชาโบราณ,จ-ศ 06:00-12:00 / ส-อา 06:00-15:00,ถนนยืนยันแล้ว เลขที่ยังไม่พบ,ร้านเก่าแก่ร่วม 100 ปี โทร 089-018-2828
บ้านจงดี ขนมไทย,ถนนนางงาม ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นางงาม (หรือหนองจิก),,ขนมไทยโบราณ,ยังไม่ยืนยัน,ถนนยังขัดแย้งกัน ต้องเช็ก,ขนมสัมปันนี ทองเอก - แหล่งข้อมูลระบุทั้งนางงามและหนองจิก
บ้านนครใน,121 ถนนนครใน ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครใน,121,บ้านโบราณ/พิพิธภัณฑ์,08:00-18:00,เลขที่บ้านยืนยันแล้ว,บ้านเก่าราว 300 ปี เข้าชมฟรี โทร 093-606-8866
ดาษดื่น (Dasduen),259 ถนนนครใน ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครใน,259,ของฝาก/ของที่ระลึก,12:00-20:00,เลขที่บ้านยืนยันแล้ว,ติดกับ Nusantara (261) - บางแหล่งระบุเปิด ศ-จ ต้องเช็ก
Nusantara (นูซันตารา),261 ถนนนครใน ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครใน,261,คาเฟ่ชา/ร้านแผ่นเสียง,12:00-20:00 ปิดวันอังคาร,เลขที่บ้านยืนยันแล้ว,ติดกับ ดาษดื่น (259)
Studio 55 (สตูดิโอ 55),55 ถนนนครนอก ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครนอก,55,คาเฟ่วิวทะเลสาบ,ราว 10:00-18:30 บางแหล่งระบุปิดวันอังคาร,เลขที่บ้านยืนยันแล้ว,โทร 098-671-7255 - เวลาเปิดแต่ละแหล่งไม่ตรงกัน
KingKong Lemonday & Baketime,ถนนนครนอก ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครนอก,,เลมอนเนด/เบเกอรี่,ยังไม่ยืนยัน,ถนนยืนยันแล้ว เลขที่ยังไม่พบ,รถเลม่อนสีเหลือง - มีทั้งหน้าร้านและออกบูธ ควรเช็กก่อนไป
Pakorn Architect (ปกรณ์ อาร์คิเทค),ถนนนครนอก ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครนอก,,ออฟฟิศสถาปนิก/สเปซงานออกแบบ,08:00-17:00,ถนนยืนยันแล้ว เลขที่ยังไม่พบ,อยู่ตรงข้ามบ้านนครใน เปิดโล่งเห็นทะเลสาบ - ร่วมออกแบบ TCDC สงขลา
ซอยยุโรป (Street Art),ถนนนครนอก ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,นครนอก (ซอย),,สตรีทอาร์ต/จุดถ่ายรูป,กลางแจ้ง เข้าได้ตลอด,ถนนยืนยันแล้ว ปากซอยยังไม่ยืนยัน,บางแหล่งเรียกซอยดอกไม้ - ต้องเช็กปากซอยหน้างาน
บ้านอ้ายเหลียน (Ai Lian China House),125 ถนนหนองจิก ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,หนองจิก,125,ของฝาก/พิพิธภัณฑ์จีน,08:00-17:00,เลขที่บ้านยืนยันแล้ว,เข้าชมฟรี - บางแหล่งเรียกบ้านนครใน ระวังสับสนกับบ้านนครใน 121
TCDC สงขลา,ถนนสงขลาบุรี ตำบลบ่อยาง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,สงขลาบุรี,,ศูนย์สร้างสรรค์งานออกแบบ,ยังไม่ยืนยัน,ถนนยืนยันแล้ว เลขที่ยังไม่พบ,อาคารสถานีดับเพลิงหลังเก่า - เป็นลานจอดรถหลักของย่าน
